Run_ID,Algorytm,Metoda,n_punktow,OA_bazowa_%,OA_bazowa_CI_dol_%,OA_bazowa_CI_gora_%,OA_metody_%,OA_metody_CI_dol_%,OA_metody_CI_gora_%,Delta_pp,Delta_CI_dol_pp,Delta_CI_gora_pp,CI_wyklucza_zero,F1_makro_bazowa_%,F1_makro_metody_%,Delta_F1_makro_pp
124567_poprawny_L2A_class,maximum likelihood,Robust_Mahalanobis,751,58.4554,54.8966,61.9281,64.7137,61.2291,68.0486,6.2583,3.5961,8.9206,TAK,62.9048,68.8367,5.9319
124567_poprawny_L2A_class,random forest,HotellingT2,751,72.9694,69.6821,76.0229,74.9667,71.7467,77.9327,1.9973,0.0671,3.9275,TAK,69.3050,71.1735,1.8686
124567_poprawny_L2A_class,multi-layer perceptron,Mahalanobis,751,63.1158,59.6065,66.4917,71.1052,67.7624,74.2331,7.9893,5.0925,10.8862,TAK,60.1704,66.4833,6.3129
124567_poprawny_L2A_class,support vector machine,Robust_Mahalanobis,751,75.2330,72.0226,78.1866,84.8202,82.0771,87.2089,9.5872,6.8864,12.2880,TAK,73.2969,80.4950,7.1981
124567_poprawny_L2A_class,spectral angle mapping,Robust_Mahalanobis,751,71.7710,68.4472,74.8731,76.8309,73.6814,79.7073,5.0599,2.9066,7.2132,TAK,68.4342,71.0103,2.5761
124567_poprawny_L2A_class,minimum distance,Robust_Mahalanobis,751,73.6352,70.3693,76.6604,81.8908,78.9765,84.4805,8.2557,5.6869,10.8244,TAK,69.7424,75.9658,6.2233
124567_poprawny_L2A_roi,maximum likelihood,PCA,751,58.4554,54.8966,61.9281,59.9201,56.3733,63.3660,1.4647,-1.4278,4.3572,nie,62.9048,59.1998,-3.7050
124567_poprawny_L2A_roi,random forest,OneClassSVM,751,73.5020,70.2318,76.5330,74.4341,71.1953,77.4242,0.9321,-1.0714,2.9356,nie,70.3800,70.5876,0.2076
124567_poprawny_L2A_roi,multi-layer perceptron,PCA_Reconstruction,751,64.4474,60.9583,67.7894,73.9015,70.6445,76.9151,9.4541,6.7133,12.1948,TAK,58.8195,66.7815,7.9621
124567_poprawny_L2A_roi,support vector machine,IQR,751,75.2330,72.0226,78.1866,76.1651,72.9895,79.0744,0.9321,-0.3711,2.2353,nie,73.2969,73.8124,0.5155
